,day-1-E1-21-UVC,day-1-E1-22-UVC,day-1-E1-23-UVC,day-1-E1-24-UVC,day-1-E1-25-UVC,day-1-E1-26-UVC,day-1-E1-27-UVC,day-1-E1-28-UVC,day-1-E1-29-UVC,day-1-E1-30-UVC,day-1-E1-32-UTA,day-1-E1-33-UTA,day-1-E1-35-UTA,day-1-E1-36-UTA,day-1-E1-37-UTA,day-1-E1-38-UTA,day-1-E1-40-UTA,day118-E1-01-UV,day118-E1-02-UV,day118-E1-03-UV,day118-E1-04-UV,day118-E1-05-UV,day118-E1-07-UV,day118-E1-08-UV,day118-E1-09-UV,day118-E1-10-UV,day118-E1-11-UV,day118-E1-12-UV,day118-E1-13-UV,day118-E1-14-UV,day118-E1-15-UV,day118-E1-16-UV,day118-E1-17-UV,day118-E1-18-UV,day118-E1-19-UV,day118-E1-20-UV,day118-E1-21-UVC,day118-E1-22-UVC,day118-E1-23-UVC,day118-E1-24-UVC,day118-E1-25-UVC,day118-E1-26-UVC,day118-E1-27-UVC,day118-E1-28-UVC,day118-E1-29-UVC,day118-E1-30-UVC,day118-E1-31-UTA,day118-E1-32-UTA,day118-E1-33-UTA,day118-E1-34-UTA,day118-E1-35-UTA,day118-E1-36-UTA,day118-E1-37-UTA,day118-E1-38-UTA,day118-E1-39-UTA,day118-E1-40-UTA,day118-E1-41-V,day118-E1-42-V,day118-E1-43-V,day118-E1-45-V,day118-E1-46-V,day118-E1-47-V,day118-E1-48-V,day118-E1-50-V,day118-E1-51-V,day118-E1-52-V,day118-E1-53-V,day118-E1-54-V,day118-E1-55-V,day118-E1-56-V,day118-E1-57-V,day118-E1-58-V,day118-E1-61-VC,day118-E1-62-VC,day118-E1-63-VC,day118-E1-64-VC,day118-E1-65-VC,day118-E1-66-VC,day118-E1-67-VC,day118-E1-69-VC,day118-E1-70-VC,day118-E1-71-VC,day118-E1-72-VC,day14-E2-01-UV,day14-E2-02-UV,day14-E2-03-UV,day14-E2-04-UV,day14-E2-05-UV,day14-E2-06-UV,day14-E2-07-UV,day14-E2-08-UV,day14-E2-09-UV,day14-E2-10-UV,day14-E2-11-UV,day14-E2-12-UV,day14-E2-13-UV,day14-E2-14-UV,day14-E2-15-UV,day14-E2-16-UV,day14-E2-19-UV,day14-E2-20-UV,day14-E2-21-UVC,day14-E2-24-UVC,day14-E2-26-UVC,day14-E2-27-UVC,day14-E2-28-UVC,day14-E2-29-UVC,day14-E2-30-UVC,day14-E2-32-UVC,day14-E2-33-UTA,day14-E2-34-UTA,day14-E2-35-UTA,day14-E2-38-UTA,day14-E2-40-UTA,day14-E2-42-V,day14-E2-44-V,day14-E2-45-V,day14-E2-46-V,day14-E2-47-V,day14-E2-48-V,day14-E2-49-V,day14-E2-50-V,day14-E2-52-V,day14-E2-53-V,day14-E2-54-V,day14-E2-55-V,day14-E2-56-V,day14-E2-57-V,day14-E2-58-V,day14-E2-59-V,day14-E2-60-V,day14-E2-62-VC,day14-E2-64-VC,day14-E2-65-VC,day14-E2-66-VC,day14-E2-67-VC,day14-E2-71-VC,day14-E2-72-V,day29-E2-01-UV,day29-E2-04-UV,day29-E2-05-UV,day29-E2-06-UV,day29-E2-07-UV,day29-E2-08-UV,day29-E2-09-UV,day29-E2-10-UV,day29-E2-11-UV,day29-E2-12-UV,day29-E2-13-UV,day29-E2-14-UV,day29-E2-15-UV,day29-E2-16-UV,day29-E2-17-UV,day29-E2-18-UV,day29-E2-19-UV,day29-E2-20-UV,day29-E2-21-UVC,day29-E2-22-UVC,day29-E2-25-UVC,day29-E2-26-UVC,day29-E2-27-UVC,day29-E2-28-UVC,day29-E2-29-UVC,day29-E2-30-UVC,day29-E2-31-UTA,day29-E2-32-UTA,day29-E2-33-UTA,day29-E2-34-UTA,day29-E2-35-UTA,day29-E2-36-UTA,day29-E2-37-UTA,day29-E2-38-UTA,day29-E2-39-UTA,day29-E2-40-UTA,day29-E2-42-V,day29-E2-44-V,day29-E2-46-V,day29-E2-48-V,day29-E2-49-V,day29-E2-50-V,day29-E2-51-V,day29-E2-53-V,day29-E2-54-V,day29-E2-55-V,day29-E2-56-V,day29-E2-57-V,day29-E2-58-V,day29-E2-59-V,day29-E2-60-V,day29-E2-61-VC,day29-E2-62-VC,day29-E2-64-VC,day29-E2-65-VC,day29-E2-66-VC,day29-E2-69-VC,day29-E2-70-VC,day29-E2-71-VC,day29-E2-72-V,day46-E1-21-UVC,day46-E1-22-UVC,day46-E1-23-UVC,day46-E1-24-UVC,day46-E1-26-UVC,day46-E1-28-UVC,day46-E1-29-UVC,day46-E1-31-UTA,day46-E1-32-UTA,day46-E1-33-UTA,day46-E1-34-UTA,day46-E1-35-UTA,day46-E1-36-UTA,day46-E1-37-UTA,day46-E1-39-UTA,day46-E1-40-UTA
ASV21,76,18,30,457,267,25,0,0,0,140,155,54,53,45,0,0,27,127,45,66,43,61,394,604,151,62,0,345,57,384,1254,287,268,386,34,465,691,0,1171,300,94,141,498,744,222,433,1363,118,250,440,838,148,345,98,34,55,43,0,0,190,126,1385,117,1364,966,350,736,1595,54,221,188,746,1062,174,51,271,517,92,250,432,1149,3000,53,92,0,78,163,116,152,696,95,38,0,45,585,36,501,90,24,27,359,426,92,69,95,176,156,315,1229,84,199,87,200,56,621,0,155,0,439,0,50,595,85,410,0,472,91,40,1139,598,52,0,68,249,60,33,118,47,412,348,971,253,770,99,1501,124,245,2318,178,2648,431,184,854,749,1448,37,206,30,128,153,157,243,243,333,239,0,0,175,64,69,456,60,91,0,348,47,0,133,4597,74,313,3831,532,1053,62,0,561,1764,0,130,0,0,73,51,235,64,55,602,113,0,65,0,77,44,373,94,0,80,709,30,1058,194,85,0
ASV34,0,36,0,100,0,0,0,14,0,50,103,264,0,74,0,0,106,273,396,108,193,253,752,965,165,1017,0,657,53,447,2675,761,311,475,497,706,1877,0,187,284,525,401,248,311,2200,537,120,27,417,1146,455,801,381,611,97,34,511,286,0,0,23,996,98,257,9,0,0,322,15,15,20,85,66,2982,256,116,41,19,39,3271,230,172,0,18,298,78,21,272,0,40,18,197,788,303,131,0,400,43,0,249,235,180,33,109,0,59,334,114,168,41,81,118,197,41,120,0,0,26,0,0,57,46,0,0,0,51,12,0,24,0,0,233,23,8,0,69,21,0,0,313,22,0,47,96,10,320,889,282,30,98,29,0,7,11,702,28,261,80,128,26,0,478,163,40,61,0,0,174,0,33,182,136,58,0,0,0,0,27,14,18,0,55,96,173,16,0,84,110,55,12,0,36,0,0,0,22,0,0,40,0,18,0,22,16,705,25,13,232,163,0,25,38,20,0
ASV47,89,0,0,0,0,38,0,0,58,33,159,128,0,118,0,42,0,0,73,32,23,232,135,140,45,221,38,40,493,171,366,28,198,0,0,221,212,0,55,55,43,60,157,279,427,34,0,277,43,46,527,0,33,127,16,48,106,0,0,32,89,736,34,599,100,111,184,1796,26,86,155,182,1111,468,225,21,26,39,92,32,821,463,97,85,214,50,127,114,80,100,159,35,379,137,222,407,950,62,48,54,205,94,319,103,1037,139,66,89,183,97,119,371,248,161,757,0,113,477,182,90,736,2273,65,113,86,667,182,66,1080,67,81,152,267,321,96,519,113,1563,0,243,39,108,182,0,0,405,992,849,0,15,0,0,31,0,42,72,0,108,149,151,163,204,46,148,0,0,14,144,39,0,85,115,17,0,64,61,9,0,143,227,0,701,451,92,58,0,140,309,114,103,156,105,0,0,64,0,40,316,0,0,30,0,51,0,20,0,0,103,112,0,32,135,91,194
ASV57,0,0,0,20,0,0,0,8,0,0,46,33,25,0,0,0,0,28,12,20,10,58,331,165,74,177,0,49,0,212,47,397,303,325,119,74,429,0,22,159,165,112,189,236,434,232,205,137,49,230,943,199,136,288,39,0,116,242,0,26,23,292,0,24,20,48,51,2043,48,264,213,31,164,84,56,137,0,11,39,5322,64,956,75,24,43,219,32,425,165,263,122,620,139,68,103,0,721,9,31,74,100,165,75,119,15,64,202,169,45,14,42,65,892,18,330,0,10,140,26,13,703,88,84,42,67,81,90,0,655,51,14,41,190,34,25,401,19,66,0,270,12,0,250,621,0,243,47,288,0,29,19,0,0,0,712,173,45,25,53,306,14,182,281,190,34,0,0,40,14,66,533,555,0,0,0,60,0,0,47,0,0,186,277,18,0,0,96,551,0,54,18,71,0,0,25,8,70,26,0,0,0,0,0,0,218,15,7,53,128,26,151,379,0,0
ASV60,78,0,0,42,0,29,0,0,0,16,126,13,0,0,0,15,0,53,0,20,64,133,1034,201,33,329,0,149,59,0,111,10,107,24,0,137,0,0,198,20,128,211,26,5,21,157,74,851,17,0,0,45,873,256,456,149,157,0,0,64,11,90,0,119,0,117,0,4559,12,129,94,44,9,200,32,39,189,0,24,20,19,49,810,154,18,0,91,105,0,116,0,0,0,72,461,15,710,23,13,22,26,28,152,15,0,50,185,691,14,233,46,0,193,338,105,0,0,0,6,92,19,243,107,0,180,4,57,9,27,34,103,145,49,108,0,180,226,323,0,0,0,9,19,22,0,514,11,19,0,0,12,0,0,0,12,14,47,731,51,151,64,874,73,557,85,0,0,157,55,31,3452,633,404,0,0,26,0,17,9,0,19,14,341,12,0,0,0,0,0,211,369,222,0,0,42,83,164,19,21,0,82,0,118,20,16,31,0,55,115,0,57,1038,165,54
ASV61,36,17,26,0,40,118,47,8,0,43,0,0,53,27,0,32,183,0,33,32,0,5,7,35,28,517,152,0,353,0,0,0,37,233,0,0,17,0,64,0,6,17,0,13,0,0,12,50,0,0,8,10,0,314,0,15,85,47,0,450,43,56,0,61,46,48,31,20,0,263,89,25,0,21,0,32,94,0,0,20,34,225,335,0,82,139,0,43,66,0,34,16,26,1011,0,293,40,13,18,6,0,75,84,39,0,201,24,14,50,16,140,33,254,20,553,7,142,28,13,63,74,73,25,105,0,674,163,111,847,9,189,18,123,87,8,0,14,237,17,0,300,252,935,993,30,107,692,0,276,0,51,0,0,37,16,0,0,30,69,110,0,44,14,13,0,0,0,39,23,0,0,344,0,0,389,272,496,263,15,114,40,1346,23,1804,33,2,3573,1117,161,6,73,87,0,0,0,17,68,3206,0,0,0,0,730,11,28,111,0,0,280,17,7,0,279,53
ASV62,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2357,63,0,171,0,67,55,312,22,5481,83,7086,14,203,92,0,0,0,1293,15,21,0,661,103,0,701,120,16,0,0,0,0,31,0,0,0,0,0,0,0,20,0,21,24,0,0,0,0,0,0,0,0,0,39,0,0,11,23,23,0,0,0,0,0,0,341,32,0,80,18,65,0,0,0,0,0,20,37,0,8097,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,496,0,0,0,0,0,0,834,0,0,18,0,73,13,38,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV63,0,0,9,21,0,7,0,0,0,10,0,20,0,14,4,5,4,9,106,0,0,31,27,42,36,126,1112,0,19,0,2714,0,303,0,0,159,35,0,94,0,0,207,7,55,233,0,0,13,10,52,61,11,33,168,0,50,11,0,6,0,330,42,0,45,0,0,7,204,10,27,46,383,14,7341,0,13,0,0,17,63,483,124,17,7,1218,42,33,111,11,77,0,0,27,227,139,0,99,50,138,365,13,11,32,166,10,168,258,20,678,190,265,120,622,487,2772,7,0,16,0,108,56,690,0,0,183,0,14,29,54,0,235,74,95,0,25,503,379,13,0,17,0,16,179,25,16,172,76,63,52,8,106,14,17,0,22,109,0,0,10,20,0,383,40,13,96,0,21,19,0,0,85,97,0,0,64,40,24,75,10,82,36,43,74,33,19,0,0,13,63,74,228,75,0,0,17,69,132,189,0,0,276,0,0,0,55,0,0,143,187,11,12,0,0,25
ASV66,25,15,33,23,0,0,12,9,0,0,34,22,0,13,0,0,12,35,29,193,101,131,43,911,767,954,55,650,474,471,481,258,262,669,33,190,612,0,41,158,565,30,191,1280,74,380,905,321,146,93,0,190,35,119,224,22,0,6,0,0,0,0,0,0,0,0,8,9,0,0,9,0,26,13,0,0,0,0,0,0,19,55,25,79,61,158,86,192,357,130,197,125,39,262,210,196,1004,84,13,65,317,299,175,20,93,301,16,637,236,93,457,0,429,89,0,5,0,8,0,0,9,19,0,0,0,69,0,0,21,0,15,8,19,12,0,0,40,0,310,0,13,50,21,108,0,42,667,262,1305,84,76,18,74,57,298,103,90,299,756,126,216,175,145,353,166,0,12,694,0,61,157,281,425,0,0,0,0,0,35,18,0,23,0,20,0,0,61,26,0,0,9,10,0,0,0,0,0,0,21,0,13,0,10,0,26,20,0,18,191,0,136,250,12,0
ASV68,0,0,0,2759,0,50,103,46,0,0,38,0,0,0,0,477,317,0,0,16,26,0,0,0,123,340,0,0,0,39,0,155,316,85,246,0,27,0,33,7,52,37,81,331,8,0,324,606,0,131,39,20,0,1016,217,332,0,0,0,21,20,0,8,8,9,180,0,443,75,174,0,0,6,8,198,203,0,0,0,8,14,10,0,0,0,150,25,0,0,0,0,35,79,259,0,99,33,0,310,57,0,87,129,70,1101,206,24,50,58,186,838,240,1604,438,0,0,0,0,0,50,0,0,0,0,15,838,32,0,0,0,259,0,663,0,0,0,195,0,0,240,28,38,0,0,64,173,1104,11,209,34,0,22,14,34,439,0,37,224,61,129,190,24,0,31,169,0,0,205,40,29,211,205,52,0,0,0,0,0,0,0,0,0,1477,729,5,0,0,0,1281,0,71,139,14,0,0,0,0,0,0,0,0,0,131,9,86,135,0,0,0,0,0,0,18,56
